Image_Name,ID,Count
1679057_YY-ART_1583014_20-22168_20-22168_HE_2,1679057,1841
1679057_YY-ART_1583014_20-22168_20-22168_HE_3,1679057,1699
1686133_YY-ART_395203_17-8473_17-8473_HE,1686133,1797
1705921_YY-ART_1836126_20-34324_20-34324_HE,1705921,1097
1705921_YY-ART_1836126_20-34324_20-34324_HE_2,1705921,1420
171054_171054_16-21245_16-21245_HE,171054,2679
1722746_1722746_15-4831_15-4831_HE,1722746,1455
1722746_1722746_15-4831_15-4831_HE_3,1722746,1591
1739178_1739178_15-12495_15-12495_HE,1739178,2898
1739178_1739178_15-12495_15-12495_HE_2,1739178,2710
1759722_1759722_16-27743_16-27743_HE,1759722,1045
1759722_1759722_16-27743_16-27743_HE_2,1759722,1250
1764597_1764597_19-42464_19-42464_HE,1764597,533
1788011_1788011_16-8755_16-8755_HE,1788011,1408
1788011_1788011_16-8755_16-8755_HE_2,1788011,1450
1788950_1788950_17-18675_17-18675_HE,1788950,457
1794085_YY-ART_216668_20-3487_20-3487_HE,1794085,1430
1794085_YY-ART_216668_20-3487_20-3487_HE_2,1794085,1735
18047758_YY-ART_420075_16-18727_16-18727_HE,18047758,941
1815613_1815613_16-14390_16-14390_HE,1815613,736
1815613_1815613_16-14390_16-14390_HE_2,1815613,1476
1815613_1815613_16-14390_16-14390_HE_3,1815613,1190
1817377_1817377_16-17280_16-17280_HE,1817377,1720
1817377_1817377_16-17280_16-17280_HE_2,1817377,1458
181885_YY-ART_1360758_15-15537_15-15537_HE,181885,2531
1820744_1820744_16-31769_16-31769_HE,1820744,3062
1820744_1820744_16-31769_16-31769_HE_2,1820744,3096
1820744_1820744_16-31769_16-31769_HE_3,1820744,3362
1827083_1827083_16-20137_16-20137_HE,1827083,3254
1827083_1827083_16-20137_16-20137_HE_2,1827083,3520
1828466_1828466_16-28888_16-28888_HE,1828466,1620
1831705_1831705_16-21900_16-21900_HE,1831705,4150
1831705_1831705_16-21900_16-21900_HE_2,1831705,3587
1832337_1832337_16-22141_16-22141_HE,1832337,2543
1832979_1832979_18-3852_18-3852_HE_2,1832979,2469
1832979_1832979_18-3852_18-3852_HE_3,1832979,2494
1837998_1837998_17-17894_17-17894_HE,1837998,456
1837998_1837998_17-17894_17-17894_HE_2,1837998,718
1837998_1837998_17-17894_17-17894_HE_3,1837998,740
1852575_1852575_17-42358_17-42358_HE,1852575,2164
1852575_1852575_17-42358_17-42358_HE_2,1852575,2701
1852575_1852575_17-42358_17-42358_HE_3,1852575,2337
1852575_1852575_19-32108_19-32108_HE,1852575,563
1852575_1852575_19-32108_19-32108_HE_2,1852575,573
1852575_YY-ART_1528599_18-47482_18-47482_HE,1852575,390
186539_YY-ART_1955960_19-5309_19-5309_HE,186539,887
1866443_1866443_19-47383_19-47383_HE_2,1866443,746
1866443_1866443_19-47383_19-47383_HE_3,1866443,905
1866652_1866652_17-4262_17-4262_HE,1866652,2119
1866652_1866652_17-4262_17-4262_HE_2,1866652,1816
1881584_YY-ART_555711_19-6791_19-6791_HE,1881584,1239
1881584_YY-ART_555711_19-6791_19-6791_HE_2,1881584,1174
1881584_YY-ART_555711_19-6791_19-6791_HE_3,1881584,2022
190062_YY-ART_2009167_20-29006_20-29006_HE,190062,3360
190062_YY-ART_2009167_20-29006_20-29006_HE_2,190062,2739
1914642_1914642_20-40255_20-40255_HE_2,1914642,1744
1914642_1914642_20-40255_20-40255_HE_3,1914642,2052
1917241_1917241_19-23707_19-23707_HE,1917241,1489
1940338_1940338_19-43810_19-43810_HE,1940338,1681
1944628_1944628_18-39447_18-39447_HE,1944628,787
194521_194521_15-9512_15-9512_HE,194521,424
1953250_1953250_19-2731_19-2731_HE,1953250,3186
1953250_1953250_19-2731_19-2731_HE_2,1953250,2742
1965029_1965029_19-17090_19-17090_HE,1965029,3637
1976049_1976049_19-31755_19-31755_HE,1976049,2175
1984604_YY-ART_5006717_17-27054_17-27054_HE,1984604,561
1984604_YY-ART_5006717_17-27054_17-27054_HE_2,1984604,2042
1984604_YY-ART_5006717_17-27054_17-27054_HE_3,1984604,2028
1988559_1988559_20-8880_20-8880_HE,1988559,2065
1994121_1994121_20-34595_20-34595_HE,1994121,2603
1996027_1996027_20-8019_20-8019_HE,1996027,5272
